1,342,657,Orange,1
1,907,147,Orange,4
1,103,504,Green,2
1,659,153,Green,4
1,542,733,Yellow,1
1,865,406,Yellow,2
1,384,64,Yellow,4
1,836,742,Pink,1
1,121,279,Pink,3
1,497,445,Purple,2
1,101,83,Purple,4
1,100,689,Blue,1
1,722,612,Blue,1
1,404,255,White,3
2,342,657,Orange,1
2,907,147,Orange,4
2,103,504,Green,2
2,659,152,Green,4
2,542,733,Yellow,1
2,865,406,Yellow,2
2,384,64,Yellow,4
2,836,742,Pink,1
2,121,280,Pink,3
2,497,445,Purple,2
2,101,84,Purple,4
2,100,689,Blue,1
2,722,612,Blue,1
2,403,255,White,3
3,342,657,Orange,1
3,907,147,Orange,4
3,103,504,Green,2
3,659,153,Green,4
3,542,733,Yellow,1
3,865,406,Yellow,2
3,384,64,Yellow,4
3,836,742,Pink,1
3,121,279,Pink,3
3,497,445,Purple,2
3,102,84,Purple,4
3,100,689,Blue,1
3,722,612,Blue,1
3,403,255,White,3
4,342,657,Orange,1
4,907,147,Orange,4
4,103,504,Green,2
4,659,153,Green,4
4,542,733,Yellow,1
4,865,406,Yellow,2
4,384,64,Yellow,4
4,836,742,Pink,1
4,121,280,Pink,3
4,497,445,Purple,2
4,100,83,Purple,4
4,100,690,Blue,1
4,722,612,Blue,1
4,403,254,White,3
5,342,657,Orange,1
5,907,147,Orange,4
5,103,504,Green,2
5,659,153,Green,4
5,542,733,Yellow,1
5,866,406,Yellow,2
5,384,64,Yellow,4
5,836,742,Pink,1
5,120,280,Pink,3
5,497,445,Purple,2
5,102,85,Purple,4
5,100,690,Blue,1
5,722,612,Blue,1
5,403,254,White,3
6,342,657,Orange,1
6,907,147,Orange,4
6,103,504,Green,2
6,659,153,Green,4
6,542,733,Yellow,1
6,865,406,Yellow,2
6,384,64,Yellow,4
6,836,742,Pink,1
6,121,279,Pink,3
6,497,445,Purple,2
6,100,83,Purple,4
6,100,689,Blue,1
6,722,612,Blue,1
6,403,254,White,3
7,342,657,Orange,1
7,907,147,Orange,4
7,103,504,Green,2
7,659,153,Green,4
7,542,734,Yellow,1
7,865,406,Yellow,2
7,384,64,Yellow,4
7,836,742,Pink,1
7,121,279,Pink,3
7,497,445,Purple,2
