1,343,658,Orange,1
1,908,148,Orange,4
1,99,504,Green,2
1,659,149,Green,4
1,542,740,Yellow,1
1,869,408,Yellow,2
1,385,58,Yellow,4
1,838,745,Pink,1
1,118,281,Pink,3
1,498,446,Purple,2
1,98,80,Purple,4
1,99,691,Blue,1
1,723,613,Blue,1
1,404,256,White,3
2,343,658,Orange,1
2,908,148,Orange,4
2,99,504,Green,2
2,659,149,Green,4
2,542,740,Yellow,1
2,871,407,Yellow,2
2,385,58,Yellow,4
2,838,745,Pink,1
2,118,281,Pink,3
2,498,445,Purple,2
2,100,82,Purple,4
2,99,691,Blue,1
2,723,613,Blue,1
2,404,256,White,3
3,343,657,Orange,1
3,908,148,Orange,4
3,99,504,Green,2
3,659,149,Green,4
3,542,740,Yellow,1
3,871,407,Yellow,2
3,385,58,Yellow,4
3,838,745,Pink,1
3,118,281,Pink,3
3,498,446,Purple,2
3,100,81,Purple,4
3,99,691,Blue,1
3,723,613,Blue,1
3,404,256,White,3
4,343,657,Orange,1
4,908,148,Orange,4
4,99,504,Green,2
4,659,149,Green,4
4,543,740,Yellow,1
4,871,407,Yellow,2
4,384,58,Yellow,4
4,838,745,Pink,1
4,118,281,Pink,3
4,498,446,Purple,2
4,99,82,Purple,4
4,99,691,Blue,1
4,723,613,Blue,1
4,404,255,White,3
5,343,658,Orange,1
5,908,148,Orange,4
5,99,504,Green,2
5,659,149,Green,4
5,543,740,Yellow,1
5,872,406,Yellow,2
5,385,58,Yellow,4
5,838,745,Pink,1
5,118,281,Pink,3
5,498,446,Purple,2
5,100,82,Purple,4
5,99,691,Blue,1
5,723,613,Blue,1
5,404,256,White,3
6,343,658,Orange,1
6,908,148,Orange,4
6,99,504,Green,2
6,659,149,Green,4
6,543,740,Yellow,1
6,872,406,Yellow,2
6,385,58,Yellow,4
6,838,745,Pink,1
6,118,281,Pink,3
6,499,446,Purple,2
6,95,79,Purple,4
6,99,691,Blue,1
6,723,613,Blue,1
6,404,255,White,3
7,343,658,Orange,1
